id,SAMPLE_ID
1,2
2,25
3,1
4,5
5,41
6,1
7,29
8,9
9,0
10,2
11,26
12,5
13,5
14,2
15,13
16,1
17,4
18,9
19,7
20,13
21,5
22,5
23,10
24,2
25,0
26,10
27,4
28,2
29,13
30,18
31,5
32,31
33,4
34,1
35,1
36,2
37,1
38,1
39,53
40,17
41,9
42,40
43,11
44,34
45,1
46,0
47,26
48,4
49,18
50,8
51,1
52,19
53,9
54,2
55,15
56,10
57,2
58,13
59,11
60,10
61,14
62,5
63,3
64,32
65,44
66,4
67,0
68,0
69,0
70,21
71,16
72,4
73,3
74,4
75,13
76,7
77,9
78,4
79,0
80,1
81,2
82,2
83,5
84,9
85,13
86,3
87,6
88,44
89,13
90,18
91,8
92,9
93,18
94,2
95,16
96,58
97,14
98,23
99,6
100,5
101,29
102,29
103,1
104,4
105,2
106,0
107,0
108,1
109,1
110,6
111,24
112,19
113,3
114,5
115,3
116,1
117,3
118,4
119,23
120,9
121,8
122,5
123,5
124,2
125,0
126,10
127,4
128,4
129,8
130,10
131,14
132,3
133,1
134,3
135,28
136,5
137,2
138,0
139,27
140,0
141,2
142,1
143,13
144,3
145,5
146,20
147,10
148,14
149,12
150,21
151,1
152,6
153,11
154,27
155,1
156,3
157,2
158,27
159,2
160,1
161,1
162,3
163,5
164,11
165,1
166,0
167,2
168,2
169,7
170,0
171,5
172,10
173,1
174,21
175,12
176,3
177,2
178,6
179,5
180,0
181,4
182,21
183,9
184,6
185,21
186,15
187,8
188,6
189,4
190,7
191,8
192,8
193,0
194,13
195,6
196,8
197,0
198,0
199,3
200,5
201,9
202,1
203,0
204,0
205,2
206,3
207,6
208,13
209,7
210,10
211,15
212,0
213,6
214,0
215,25
216,4
217,13
218,1
219,35
220,2
221,11
222,7
223,2
224,3
225,3
226,1
227,3
228,31
229,18
230,15
231,4
232,2
233,11
234,6
235,5
236,15
237,43
238,10
239,1
240,15
241,25
242,9
243,1
244,8
245,16
246,35
247,20
248,45
249,15
250,6
251,8
252,44
253,3
254,2
255,3
256,6
257,4
258,5
259,2
260,1
261,4
262,23
263,7
264,2
265,9
266,8
267,1
268,2
269,9
270,3
271,16
272,4
273,0
274,6
275,2
276,0
277,3
278,8
279,6
280,3
281,10
282,11
283,1
284,15
285,0
286,1
287,3
288,15
289,2
290,6
291,4
292,0
293,1
294,0
295,1
296,5
297,4
298,9
299,3
300,10
301,12
302,9
303,6
304,25
305,14
306,5
307,4
308,20
309,8
310,28
311,8
312,7
313,17
314,5
315,10
316,6
317,12
318,3
319,3
320,3
321,10
322,1
323,3
324,2
325,3
326,31
327,5
328,12
329,3
330,21
331,9
332,7
333,26
334,7
335,21
336,16
337,1
338,4
339,3
340,5
341,15
342,6
343,1
344,1
345,3
346,6
347,16
348,1
349,1
350,3
351,3
352,4
353,2
354,2
355,15
356,26
357,12
358,4
359,6
360,0
361,1
362,1
363,1
364,1
365,0
366,4
367,13
368,0
369,1
370,5
371,14
