Species,SAMPLE_ID
Absidia glauca (Pin mould),0
Acidocella sp. MX-AZ02,0
Adeno-associated dependoparvovirus A,1
Adeno-associated virus,0
Adeno-associated virus VR-355,0
African green monkey simian foamy virus,1
Aichivirus A,2
Alphacoronavirus 1,3
Alphapapillomavirus 1,2
Alphapapillomavirus 10,1
Alphapapillomavirus 11,0
Alphapapillomavirus 13,0
Alphapapillomavirus 2,2
Alphapapillomavirus 3,1
Alphapapillomavirus 4,1
Alphapapillomavirus 5,0
Alphapapillomavirus 6,1
Alphapapillomavirus 7,3
Alphapapillomavirus 8,0
Alphapapillomavirus 9,1
Alternaria alternata (Alternaria rot fungus) (Torula alternata),0
Amaranthus caudatus (Love-lies-bleeding) (Inca-wheat),0
Ambrosia artemisiifolia (Short ragweed),0
Anacardium occidentale (Cashew),0
Anisakis simplex (Herring worm),0
Apis mellifera (Honeybee),0
Apium graveolens (Celery),0
Apophysomyces trapeziformis,0
Arabidopsis thaliana (Mouse-ear cress),0
Arachis hypogaea (Peanut),0
Aravan virus,0
Armoracia rusticana (Horseradish) (Armoracia laphatifolia),1
Artemisia vulgaris (Mugwort),0
Aspergillus clavatus,0
Aspergillus restrictus,0
Australian bat lyssavirus,2
BK polyomavirus,0
BK polyomavirus (BKPyV),0
Babesia microti,0
Bacillus anthracis,0
Bacillus subtilis,0
Banna virus,2
Barmah Forest virus,0
Bat coronavirus 1B,0
Bertholletia excelsa (Brazil nut),0
Betacoronavirus 1,2
Betapapillomavirus 1,2
Betapapillomavirus 2,0
Betapapillomavirus 3,0
Betula pendula (European white birch) (Betula verrucosa),0
Blattella germanica (German cockroach) (Blatta germanica),0
Blomia tropicalis (Mite),0
Bordetella pertussis,1
Borreliella bavariensis,0
Borreliella burgdorferi (Lyme disease spirochete) (Borrelia burgdorferi),1
Bos taurus (Bovine),3
Bovine papular stomatitis virus,1
Bovine respiratory syncytial virus,0
Bovine torovirus,0
Brassica napus (Rape),0
Brugia malayi (Filarial nematode worm),0
Bundibugyo ebolavirus,0
Bunyamwera virus,2
Burkholderia multivorans,0
Burkholderia pseudomallei (Pseudomonas pseudomallei),0
Caenorhabditis briggsae,0
California encephalitis virus,0
Camelpox virus,0
Candida albicans (Yeast),0
Candidatus Neoehrlichia mikurensis,0
Canine adenovirus A,0
Carya illinoinensis (Pecan),0
Centruroides noxius (Mexican scorpion),0
Cercopithecine herpesvirus 2,0
Cercopithecus erythrotis polyomavirus 1,0
Chaetomium thermophilum,0
Chamaecyparis obtusa (Hinoki false-cypress),0
Chandipura virus,0
Chapare virus,0
Chikungunya virus,2
Chikungunya virus (CHIKV),3
Chironomus thummi (Midge),0
Chlamydia pneumoniae (Chlamydophila pneumoniae),0
Chlamydia trachomatis,0
Clostridium botulinum,1
Clostridium tetani,1
Cochliobolus lunatus (Filamentous fungus) (Curvularia lunata),0
Colorado tick fever virus,1
Corylus avellana (European hazel) (Corylus maxima),0
Corynebacterium diphtheriae,0
Corynebacterium genitalium,1
Cosavirus A,2
Cowpox virus,2
Crimean-Congo hemorrhagic fever virus,0
Cryptococcus arboriformis,0
Cryptomeria japonica (Japanese cedar) (Cupressus japonica),0
Cryptosporidium parvum,0
Cucumis melo (Muskmelon),0
Cynodon dactylon (Bermuda grass) (Panicum dactylon),0
Danio rerio (Zebrafish) (Brachydanio rerio),0
Dengue virus,6
Dermatophagoides farinae (American house dust mite),0
Dermatophagoides pteronyssinus (European house dust mite),0
Dhori virus,0
Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi),0
Drawida gracilis,0
Drosophila melanogaster (Fruit fly),0
Drosophila persimilis (Fruit fly),0
Drosophila pseudoobscura,1
Dugbe virus,1
Duvenhage virus,0
Dyella japonica,0
Eastern equine encephalitis virus,3
Eastern equine encephalitis virus (EEEV) (Eastern equine encephalomyelitis virus),2
Echinococcus granulosus (Hydatid tapeworm),0
Ectromelia virus,0
Ehrlichia chaffeensis,1
Encephalomyocarditis virus,1
Entamoeba histolytica,0
Enterobacteria phage P1,0
Enterovirus A,0
Enterovirus B,6
Enterovirus C,3
Enterovirus D,0
Equine rotavirus,0
Equine torovirus,0
Escherichia coli,1
European bat lyssavirus 1,0
Fagopyrum esculentum (Common buckwheat) (Polygonum fagopyrum),0
Farfantepenaeus aztecus (Brown shrimp) (Penaeus aztecus),0
Fasciola gigantica (Giant liver fluke),0
Feline rotavirus,0
Felis catus (Cat) (Felis silvestris catus),0
FinV707 virus,0
Frateuria aurantia,1
Gadus morhua (Atlantic cod),0
Gallus gallus (Chicken),0
Gammapapillomavirus 1,0
Gammapapillomavirus 2,0
Gammapapillomavirus 3,0
Gammapapillomavirus 4,0
Getah virus,1
Giardia intestinalis (Giardia lamblia),0
Glycine max (Soybean) (Glycine hispida),0
Gorilla gorilla gorilla polyomavirus 1,0
Guanarito virus,0
Haemophilus influenzae,0
Hantaan virus,1
Hantavirus Monongahela-3,0
Hantavirus NFG357,0
Helicobacter pylori (Campylobacter pylori),0
Heligmosomoides polygyrus (Parasitic roundworm),0
Helix pomatia (Roman snail) (Edible snail),0
Hendra virus,1
Hepatitis A virus,0
Hepatitis B virus,12
Hepatitis C virus,8
Hepatitis E virus,5
Hepatitis delta virus,1
Hesperocyparis arizonica (Arizona cypress) (Cupressus arizonica),0
Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis),0
Holcus lanatus (Yorkshire-fog) (Nothoholcus lanatus),0
Human adenovirus A,1
Human adenovirus B,2
Human adenovirus C,2
Human adenovirus D,5
Human adenovirus E,3
Human adenovirus F,4
Human coronavirus 229E,0
Human coronavirus HKU1,4
Human coronavirus NL63,1
Human cosavirus RdRp-1892,0
Human cytomegalovirus (HHV-5) (Human herpesvirus 5),0
Human erythrovirus V9,0
Human herpesvirus 1,29
Human herpesvirus 2,12
Human herpesvirus 3,8
Human herpesvirus 4,8
Human herpesvirus 5,18
Human herpesvirus 6,0
Human herpesvirus 6A,0
Human herpesvirus 6B,3
Human herpesvirus 7,2
Human herpesvirus 8,9
Human immunodeficiency virus 1,6
Human immunodeficiency virus 2,4
Human metapneumovirus,1
Human papillomavirus,0
Human papillomavirus type 64,0
Human papillomavirus type me180,0
Human parainfluenza virus 1,0
Human parainfluenza virus 2,1
Human parainfluenza virus 3,0
Human parainfluenza virus 4,0
Human parechovirus,1
Human parvovirus B19,1
Human picobirnavirus,1
Human respiratory syncytial virus,5
Human rotavirus B219,0
Human torovirus,0
Human torovirus (HuTV),0
Influenza A virus,17
Influenza B virus,7
Influenza C virus,2
Isfahan virus,0
Ixodes scapularis (Black-legged tick) (Deer tick),0
JC polyomavirus,0
Jabora virus,0
Japanese encephalitis virus,0
Juglans nigra (Black walnut) (Wallia nigra),0
Juglans regia (English walnut),0
Junin virus,1
Juniperus ashei (Ozark white cedar),0
Juniperus virginiana (Eastern redcedar) (Sabina virginiana),0
KI polyomavirus,0
Kyasanur forest disease virus,1
Lactobacillus delbrueckii,0
Lagos bat virus,0
Langat virus,1
Lassa mammarenavirus,3
Lassa virus,0
Leishmania braziliensis,0
Leishmania chagasi,1
Leishmania donovani,0
Leishmania infantum,0
Leishmania major,1
Leishmania panamensis,0
Lens culinaris (Lentil) (Cicer lens),0
Lentinula edodes (Shiitake mushroom) (Lentinus edodes),0
Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor),0
Leptospira interrogans,0
Lipomyces anomalus,0
Lipomyces starkeyi (Oleaginous yeast),2
Lipomyces tetrasporus,0
Listeria monocytogenes,0
Litopenaeus vannamei (Whiteleg shrimp) (Penaeus vannamei),0
Lloviu cuevavirus,0
Lolium perenne (Perennial ryegrass),0
Louping ill virus,0
Lymphocytic choriomeningitis virus,0
Macacine herpesvirus 1,10
Macaque simian foamy virus,0
Machupo virus,0
Madariaga virus,1
Malassezia furfur (Pityriasis versicolor infection agent) (Pityrosporum furfur),0
Malassezia sympodialis (Atopic eczema-associated yeast),0
Malus domestica (Apple) (Pyrus malus),0
Mamastrovirus 1,3
Mangifera indica (Mango),0
Marburg marburgvirus,1
Mayaro virus,0
Measles virus,0
Merkel cell polyomavirus,0
Methanocaldococcus jannaschii,0
Middle East respiratory syndrome coronavirus,3
Mokola virus,0
Molluscum contagiosum virus,12
Monkeypox virus,1
Mumps virus,2
Mupapillomavirus 1,0
Mupapillomavirus 2,0
Murine leukemia virus,0
Murine leukemia-related retroviruses,0
Murray Valley encephalitis virus,1
Mus musculus,0
Mycobacterium avium,0
Mycobacterium bovis,0
Mycobacterium gordonae,0
Mycobacterium leprae,0
Mycoplasma penetrans,0
Mycoplasma pneumoniae,1
